Year,ID,Type,Lat,Lon,Species_1,Species_2,Height,Orientation,Eggs,Chicks,Deaths
2024,1,iButton,51.4895989,7.413253,BT,,221,76,7,5,0
2024,2,Nest,51.4902989,7.4134612,,,206,301,5,0,0
2024,3,iButton,51.4900072,7.4135486,,,199,337,0,0,0
2024,4,Nest,51.4897498,7.4136781,GT,,204,302,6,6,
2024,5,Nest,51.4902361,7.4139424,,,204,350,0,0,0
2024,6,Nest,51.489908,7.4141005,BT,,201,247,8,8,
2024,7,iButton,51.4903982,7.4143677,BT,,210,24,10,6,0
2024,8,Nest,51.4901354,7.4144425,BT,,214,340,0,4,1
2024,9,iButton,51.4905186,7.4154987,GT,,237,184,9,8,
2024,10,Nest,51.4901223,7.4155125,GT,,257,203,3,2,0
2024,11,iButton,51.4899019,7.4154561,GT,,244,160,8,0,0
2024,12,Nest,51.4897635,7.4150933,BT,,248,161,11,9,0
2024,13,iButton,51.4897245,7.414827,,,232,126,7,5,
2024,14,Nest,51.4894256,7.4142147,BT,,258,119,9,9,0
2024,15,iButton,51.4892326,7.413812,BT,,248,159,8,7,1
2024,16,Nest,51.4890061,7.413453,GT,GT,239,179,9,7,
2024,17,iButton,51.4886689,7.4135006,,,223,151,2,0,0
2024,18,Nest,51.4884271,7.4136226,GT,,243,162,10,6,0
2024,19,iButton,51.4881427,7.4137648,GT,,239,202,9,5,0
2024,20,Nest,51.4878222,7.4138652,BT,,230,208,4,8,0
2024,21,iButton,51.4876499,7.414214,GT,,220,132,7,6,0
2024,22,Nest,51.4875862,7.4148099,BT,,224,64,7,6,
2024,23,iButton,51.4875365,7.415439,BT,,221,49,8,0,0
2024,24,Nest,51.4876277,7.4159374,BT,,216,95,11,9,0
2024,26,iButton,51.4878767,7.4166432,,GT,269,30,8,9,0
2024,27,Nest,51.4880366,7.4171119,BT,,267,34,7,6,0
2024,28,iButton,51.4885865,7.4175333,GT,,225,150,9,7,
2024,29,Nest,51.488907,7.4174567,BT,,252,156,8,0,0
2024,30,iButton,51.4892898,7.4174946,,BT,254,27,9,7,0
